AchievementID,AchievementName,AchievementType,AchievementCategory,Description,Requirement,RequirementValue,RewardType,RewardValue,IconPath,UnlockMessage
ACH001,FirstSettlement,Progress,Foundation,建立第一个定居点,BuildBuilding,BLD001,ResourceBonus,Wood:50,Sprites/Achievements/first_settlement,恭喜！您建立了第一个定居点
ACH002,ResourceMaster,Progress,Resources,拥有1000单位任意资源,ResourceStock,1000,ResourceBonus,Random:100,Sprites/Achievements/resource_master,资源大师！您掌握了资源管理
ACH003,HarmonySeeker,Progress,Consciousness,达到50点和谐度,HarmonyLevel,50,ConsciousnessBonus,SpiritEnergy:50,Sprites/Achievements/harmony_seeker,和谐追求者！您与自然建立了联系
ACH004,SpiritWhisperer,Progress,Consciousness,与自然元素对话,SpiritCommunication,1,UnlockBuilding,BLD008,Sprites/Achievements/spirit_whisperer,灵能沟通者！您学会了与自然对话
ACH005,DefenderOfNature,Progress,Defense,建造5个防御建筑,BuildBuilding,BLD017,DefenseBonus,Defense:20,Sprites/Achievements/defender_of_nature,自然守护者！您保护了环境
ACH006,Explorer,Progress,Exploration,探索50个地图格子,ExploreTiles,50,ExplorationBonus,Knowledge:25,Sprites/Achievements/explorer,探索者！您发现了世界的秘密
ACH007,ConsciousnessAwakened,Progress,Consciousness,建筑产生自我意识,BuildingConsciousness,1,ConsciousnessBonus,SpiritEnergy:75,Sprites/Achievements/consciousness_awakened,意识觉醒！您的建筑获得了生命
ACH008,DisasterSurvivor,Progress,Survival,在自然灾害中存活,SurviveDisaster,1,SurvivalBonus,Defense:30,Sprites/Achievements/disaster_survivor,灾难幸存者！您战胜了自然的考验
ACH009,ResourceEfficiency,Progress,Efficiency,资源效率达到200%,ResourceEfficiency,200,EfficiencyBonus,Production:25,Sprites/Achievements/resource_efficiency,效率专家！您优化了资源利用
ACH010,SpiritAlly,Progress,Cooperation,与自然元素建立联盟,NaturalAlliance,1,CooperationBonus,Influence:50,Sprites/Achievements/spirit_ally,灵能盟友！您与自然成为了朋友
ACH011,KnowledgeSeeker,Progress,Knowledge,获得100点知识,KnowledgeLevel,100,KnowledgeBonus,Knowledge:50,Sprites/Achievements/knowledge_seeker,知识追求者！您积累了丰富的智慧
ACH012,PopulationBoom,Progress,Population,人口达到1000,PopulationCount,1000,PopulationBonus,Workers:100,Sprites/Achievements/population_boom,人口繁荣！您的社会蓬勃发展
ACH013,TechnologyPioneer,Progress,Technology,研究10项科技,ResearchTech,10,TechnologyBonus,ResearchSpeed:20,Sprites/Achievements/technology_pioneer,科技先驱！您推动了技术进步
ACH014,Environmentalist,Progress,Environment,建造10个共生建筑,BuildBuilding,BLD008,EnvironmentalBonus,Harmony:30,Sprites/Achievements/environmentalist,环保主义者！您与自然和谐共处
ACH015,SpiritMaster,Progress,Consciousness,灵能达到500点,SpiritEnergyLevel,500,ConsciousnessBonus,SpiritEnergy:100,Sprites/Achievements/spirit_master,灵能大师！您掌握了灵能的力量
ACH016,DisasterMaster,Progress,Disaster,成功应对10次自然灾害,HandleDisaster,10,DisasterBonus,DisasterResistance:40,Sprites/Achievements/disaster_master,灾难大师！您成为了灾难应对专家
ACH017,ResourceKing,Progress,Resources,拥有所有类型资源,ResourceVariety,16,ResourceBonus,AllResources:50,Sprites/Achievements/resource_king,资源之王！您掌控了所有资源
ACH018,ConsciousnessEvolution,Progress,Evolution,意识等级达到最高,ConsciousnessLevel,6,EvolutionBonus,ConsciousnessPower:100,Sprites/Achievements/consciousness_evolution,意识进化！您达到了意识的巅峰
ACH019,Peacekeeper,Progress,Peace,保持100回合无冲突,PeaceTurns,100,PeaceBonus,Harmony:50,Sprites/Achievements/peacekeeper,和平守护者！您维护了世界的和平
ACH020,Innovator,Progress,Innovation,发明5项独特技术,InnovateTech,5,InnovationBonus,ResearchBonus:30,Sprites/Achievements/innovator,创新者！您创造了新的技术
ACH021,SpiritGuardian,Progress,Guardian,保护10个自然元素,ProtectElements,10,GuardianBonus,SpiritEnergy:75,Sprites/Achievements/spirit_guardian,灵能守护者！您保护了自然元素
ACH022,ResourceConservation,Progress,Conservation,资源消耗效率达到300%,ConservationEfficiency,300,ConservationBonus,ResourceBonus:40,Sprites/Achievements/resource_conservation,资源保护者！您实现了可持续发展
ACH023,ConsciousnessHarmony,Progress,Harmony,与所有自然元素建立和谐关系,FullHarmony,25,HarmonyBonus,Harmony:100,Sprites/Achievements/consciousness_harmony,意识和谐！您与万物达成了和谐
ACH024,DisasterPredictor,Progress,Prediction,成功预测20次自然灾害,PredictDisaster,20,PredictionBonus,DisasterWarning:50,Sprites/Achievements/disaster_predictor,灾难预言者！您预见了自然的警告
ACH025,SpiritSage,Progress,Wisdom,获得1000点知识,KnowledgeLevel,1000,WisdomBonus,AllBonuses:25,Sprites/Achievements/spirit_sage,灵能贤者！您成为了智慧的化身
ACH026,EnvironmentalChampion,Progress,Champion,环境质量达到最高,EnvironmentQuality,100,ChampionBonus,EnvironmentalPower:100,Sprites/Achievements/environmental_champion,环境冠军！您创造了完美的环境
ACH027,ConsciousnessUnifier,Progress,Unification,统一所有意识,UnifyConsciousness,1,UnificationBonus,ConsciousnessMastery:200,Sprites/Achievements/consciousness_unifier,意识统一者！您统一了所有意识
ACH028,ResourceSovereign,Progress,Sovereignty,完全掌控所有资源,ResourceControl,16,SovereigntyBonus,ResourceMastery:150,Sprites/Achievements/resource_sovereign,资源主权者！您成为了资源的主宰
ACH029,SpiritAscendant,Progress,Ascension,达到灵能巅峰,SpiritAscension,1,AscensionBonus,SpiritTranscendence:300,Sprites/Achievements/spirit_ascendant,灵能升华者！您超越了凡俗的界限
ACH030,WorldHarmonizer,Progress,Harmonization,实现世界和谐,WorldHarmony,1,HarmonizationBonus,WorldPeace:500,Sprites/Achievements/world_harmonizer,世界和谐者！您创造了完美的世界 
